route_id,route_week,row_count,delivery_stop_count,driver_id_count,country_count,week_id_count,duplicate_stop_id_rows,complete_planned_index,complete_actual_index,observed_delivery_arrival,manifest_anchor_minutes,route_duration_minutes,actual_arrival_span_minutes,negative_delivery_targets,planned_first_is_depot,actual_first_is_depot,eligible,failure_reasons,split
0,0,7,5,1,1,1,4,True,True,True,0.0,373.553,331.278,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
1,0,7,6,1,1,1,0,True,True,True,0.0,371.387,306.532,0,True,True,False,delivery_stops_lt_10,excluded
2,0,7,6,1,1,1,0,True,True,True,0.0,473.273,362.99,0,True,True,False,delivery_stops_lt_10,excluded
3,0,10,9,1,1,1,0,True,True,True,0.0,448.366,254.09199999999998,0,True,True,False,delivery_stops_lt_10,excluded
4,0,8,7,1,1,1,0,True,True,True,0.0,357.34,160.75199999999998,0,True,True,False,delivery_stops_lt_10,excluded
5,0,10,9,1,1,1,0,True,True,True,0.0,477.231,250.257,0,True,True,False,delivery_stops_lt_10,excluded
6,0,14,13,1,1,1,0,True,True,True,0.0,457.371,217.76199999999997,0,True,True,True,,training
7,0,15,14,1,1,1,0,True,True,True,0.0,536.481,296.22,0,True,True,True,,training
8,0,7,6,1,1,1,0,True,True,True,0.0,485.747,242.299,0,True,True,False,delivery_stops_lt_10,excluded
9,0,11,10,1,1,1,0,True,True,True,0.0,448.106,202.239,0,True,True,True,,training
10,0,23,15,1,1,1,10,True,True,True,0.0,518.543,264.66700000000003,0,True,True,False,duplicate_route_stop_id,excluded
11,0,10,9,1,1,1,0,True,True,True,4.05,510.343,514.393,0,True,True,False,delivery_stops_lt_10,excluded
12,0,10,9,1,1,1,0,True,True,True,0.0,345.223,275.969,0,True,True,False,delivery_stops_lt_10,excluded
13,0,15,14,1,1,1,0,True,True,True,0.0,595.954,536.948,0,True,True,True,,training
14,0,7,5,1,1,1,2,True,True,True,0.0,521.19,380.3430000000001,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
15,0,14,13,1,1,1,0,True,True,True,0.0,532.917,450.01300000000003,0,True,True,True,,training
16,0,15,14,1,1,1,0,True,True,True,0.0,630.08,481.9150000000001,0,True,True,True,,training
17,0,8,7,1,1,1,0,True,True,True,0.0,500.619,405.26500000000004,0,True,True,False,delivery_stops_lt_10,excluded
18,0,24,23,1,1,1,0,True,True,True,0.0,682.93,568.7579999999999,0,True,True,True,,training
19,0,17,16,1,1,1,0,True,True,True,0.0,507.634,362.091,0,True,True,True,,training
20,0,15,14,1,1,1,0,True,True,True,0.0,715.255,592.39,0,True,True,True,,training
21,0,17,16,1,1,1,0,True,True,True,0.0,600.189,467.78499999999997,0,True,True,True,,training
22,0,12,11,1,1,1,0,True,True,True,0.0,480.994,317.74300000000005,0,True,True,True,,training
23,0,23,22,1,1,1,0,True,True,True,0.0,757.11,590.627,0,True,True,True,,training
24,0,14,13,1,1,1,0,True,True,True,0.0,618.039,438.361,0,True,True,True,,training
25,0,23,22,1,1,1,0,True,True,True,0.0,470.749,274.572,0,True,True,True,,training
26,0,11,10,1,1,1,0,True,True,True,0.0,475.835,336.39599999999996,0,True,True,True,,training
27,0,24,22,1,1,1,2,True,True,True,0.0,625.244,421.92600000000004,0,True,True,False,duplicate_route_stop_id,excluded
28,0,17,15,1,1,1,2,True,True,True,0.0,828.198,620.63,0,True,True,False,duplicate_route_stop_id,excluded
29,0,4,3,1,1,1,0,True,True,True,0.0,377.836,346.899,0,True,True,False,delivery_stops_lt_10,excluded
30,0,18,17,1,1,1,0,True,True,True,0.0,659.527,448.23400000000004,0,True,True,True,,training
31,0,15,14,1,1,1,0,True,True,True,0.0,635.696,415.226,0,True,True,True,,training
32,0,9,8,1,1,1,0,True,True,True,0.0,415.783,247.09900000000002,0,True,True,False,delivery_stops_lt_10,excluded
33,0,14,13,1,1,1,0,True,True,True,0.0,587.063,358.032,0,True,True,True,,training
