route_id,route_week,split,row_count,delivery_stop_count
6,0,training,14,13
7,0,training,15,14
9,0,training,11,10
13,0,training,15,14
15,0,training,14,13
16,0,training,15,14
18,0,training,24,23
19,0,training,17,16
20,0,training,15,14
21,0,training,17,16
22,0,training,12,11
23,0,training,23,22
24,0,training,14,13
25,0,training,23,22
26,0,training,11,10
30,0,training,18,17
31,0,training,15,14
33,0,training,14,13
36,0,training,17,16
37,0,training,17,16
39,0,training,24,23
40,0,training,14,13
41,0,training,16,15
42,0,training,18,17
43,0,training,17,16
46,0,training,12,11
48,0,training,22,21
52,0,training,19,18
53,0,training,17,16
56,0,training,11,10
58,0,training,11,10
61,0,training,18,17
62,0,training,15,14
66,0,training,11,10
67,0,training,17,16
72,0,training,15,14
78,0,training,12,11
85,0,training,12,11
99,0,training,12,11
102,0,training,11,10
106,0,training,12,11
107,0,training,16,15
108,0,training,17,16
109,0,training,12,11
110,0,training,18,17
111,0,training,13,12
112,0,training,15,14
113,0,training,14,13
115,0,training,14,13
118,0,training,16,15
119,0,training,12,11
120,0,training,23,22
121,0,training,13,12
122,0,training,14,13
123,0,training,17,16
126,0,training,11,10
128,0,training,16,15
130,0,training,14,13
132,0,training,16,15
135,0,training,12,11
140,0,training,19,18
145,0,training,12,11
146,0,training,17,16
147,0,training,13,12
148,0,training,16,15
150,0,training,14,13
159,0,training,11,10
161,0,training,11,10
171,0,training,17,14
172,0,training,13,12
178,0,training,11,10
179,0,training,12,11
188,0,training,16,15
198,0,training,15,14
200,0,training,12,11
201,0,training,13,12
208,0,training,12,11
211,0,training,15,14
213,0,training,18,17
214,0,training,12,11
216,0,training,14,13
217,0,training,15,14
218,0,training,12,11
219,0,training,14,13
220,0,training,12,11
231,0,training,12,11
232,0,training,12,11
233,0,training,23,22
235,0,training,13,12
236,0,training,21,20
238,0,training,21,20
240,0,training,17,16
243,0,training,14,13
245,0,training,13,12
247,0,training,12,11
248,0,training,13,12
251,0,training,21,20
252,0,training,17,16
253,0,training,12,11
256,0,training,16,15
261,0,training,12,11
262,0,training,11,10
263,0,training,12,11
264,0,training,16,15
265,0,training,15,14
277,0,training,19,18
278,0,training,11,10
281,0,training,14,13
287,0,training,12,10
300,0,training,17,16
302,0,training,15,14
308,0,training,11,10
309,0,training,16,15
310,0,training,11,10
312,0,training,11,10
313,0,training,13,12
317,0,training,12,11
318,0,training,13,12
319,0,training,11,10
320,0,training,14,13
321,0,training,14,13
323,0,training,12,11
324,0,training,12,11
326,0,training,18,17
327,0,training,17,16
329,0,training,14,13
331,0,training,15,14
332,0,training,15,14
333,0,training,13,12
335,0,training,14,13
336,0,training,16,15
337,0,training,11,10
338,0,training,20,19
339,0,training,14,13
343,0,training,21,20
345,0,training,11,10
346,0,training,16,15
347,0,training,13,12
351,0,training,11,10
352,0,training,13,12
354,0,training,16,15
355,0,training,16,15
356,0,training,11,10
358,0,training,14,13
360,0,training,15,14
364,0,training,16,15
365,0,training,14,13
368,0,training,13,12
370,0,training,14,13
371,0,training,16,15
372,0,training,14,13
375,0,training,15,14
381,0,training,16,15
385,0,training,12,11
391,0,training,12,11
394,0,training,18,17
396,0,training,12,11
397,0,training,14,13
410,0,training,11,10
416,0,training,12,11
422,0,training,11,10
423,0,training,14,13
424,0,training,15,14
428,1,training,18,17
429,1,training,18,17
430,1,training,13,12
431,1,training,22,21
432,1,training,17,16
434,1,training,16,15
435,1,training,15,14
437,1,training,13,12
438,1,training,15,14
439,1,training,13,12
440,1,training,24,23
442,1,training,13,12
444,1,training,16,15
445,1,training,16,15
446,1,training,20,19
447,1,training,16,15
450,1,training,11,10
452,1,training,15,14
453,1,training,15,14
454,1,training,20,19
457,1,training,15,14
458,1,training,14,13
459,1,training,19,18
460,1,training,16,15
461,1,training,15,14
463,1,training,21,20
465,1,training,17,16
469,1,training,15,14
471,1,training,12,11
472,1,training,21,20
473,1,training,17,16
476,1,training,16,15
478,1,training,15,14
481,1,training,12,11
482,1,training,20,19
486,1,training,13,12
488,1,training,17,16
490,1,training,14,13
491,1,training,15,14
501,1,training,12,11
502,1,training,13,12
503,1,training,12,11
506,1,training,12,11
509,1,training,14,13
510,1,training,14,13
513,1,training,19,18
515,1,training,14,13
524,1,training,20,19
532,1,training,12,11
535,1,training,13,12
537,1,training,11,10
538,1,training,14,13
541,1,training,16,15
542,1,training,13,12
543,1,training,15,14
544,1,training,11,10
545,1,training,17,16
546,1,training,11,10
547,1,training,12,11
548,1,training,17,16
549,1,training,15,14
552,1,training,17,16
553,1,training,17,16
555,1,training,12,11
556,1,training,12,11
557,1,training,14,13
559,1,training,18,17
560,1,training,12,11
561,1,training,19,18
562,1,training,13,12
565,1,training,11,10
566,1,training,19,18
569,1,training,16,15
570,1,training,19,18
572,1,training,19,18
573,1,training,18,17
574,1,training,12,11
575,1,training,14,13
576,1,training,21,20
577,1,training,12,10
578,1,training,18,16
580,1,training,15,14
581,1,training,11,10
582,1,training,19,18
589,1,training,11,10
590,1,training,18,17
593,1,training,17,16
598,1,training,12,11
600,1,training,20,19
601,1,training,13,12
603,1,training,17,16
605,1,training,16,15
608,1,training,13,12
611,1,training,11,10
619,1,training,14,13
621,1,training,11,10
641,1,training,11,10
648,1,training,11,10
651,1,training,15,14
652,1,training,14,13
654,1,training,14,13
655,1,training,11,10
656,1,training,18,17
657,1,training,18,17
658,1,training,18,17
659,1,training,11,10
661,1,training,11,10
662,1,training,18,17
663,1,training,11,10
665,1,training,15,14
667,1,training,15,14
672,1,training,23,22
673,1,training,14,13
677,1,training,11,10
679,1,training,12,11
680,1,training,13,12
681,1,training,16,15
682,1,training,16,15
683,1,training,15,14
685,1,training,14,12
686,1,training,15,14
692,1,training,13,11
697,1,training,11,10
698,1,training,20,18
699,1,training,15,14
702,1,training,11,10
703,1,training,11,10
704,1,training,16,15
708,1,training,13,12
709,1,training,16,15
710,1,training,14,13
711,1,training,23,22
712,1,training,14,13
715,1,training,16,15
716,1,training,13,12
719,1,training,15,14
720,1,training,17,14
726,1,training,11,10
727,1,training,16,15
729,1,training,11,10
738,1,training,13,12
748,1,training,14,13
752,1,training,12,11
754,1,training,15,14
761,1,training,15,14
775,1,training,12,11
782,1,training,11,10
785,1,training,16,15
787,1,training,12,11
795,1,training,21,20
796,1,training,12,10
797,1,training,20,18
804,1,training,23,22
806,1,training,12,11
807,1,training,13,12
812,1,training,11,10
817,1,training,25,24
819,1,training,18,17
820,1,training,11,10
823,1,training,13,12
838,1,training,14,13
859,1,training,11,10
861,1,training,13,12
862,1,training,11,10
863,1,training,12,11
865,1,training,11,10
868,1,training,13,12
