k,method,condition,mae
3,disagreement,arbitrary_error10,73.49695295680729
3,disagreement,arbitrary_error20,73.76962524328049
3,gain,arbitrary_error10,72.84628588902434
3,gain,arbitrary_error20,73.15923523405895
3,latest_eta,arbitrary_error10,73.57249940959608
3,latest_eta,arbitrary_error20,73.8552859181292
3,random,arbitrary_error10,73.6097397111937
3,random,arbitrary_error20,73.9363846349226
3,uncertainty,arbitrary_error10,73.21773437321849
3,uncertainty,arbitrary_error20,73.50455030314299
5,disagreement,arbitrary_error10,73.48885628970235
5,disagreement,arbitrary_error20,73.78005808418362
5,gain,arbitrary_error10,72.75724386775667
5,gain,arbitrary_error20,73.07411867692691
5,latest_eta,arbitrary_error10,73.61716541112075
5,latest_eta,arbitrary_error20,73.9009814069845
5,random,arbitrary_error10,73.58962321294575
5,random,arbitrary_error20,73.90784202337646
5,uncertainty,arbitrary_error10,73.09119315164138
5,uncertainty,arbitrary_error20,73.39786447277665
