k,scope,condition,reference,difference,low,high,routes,drivers,mean_direction,interval_support
3,all,proxy_clean,random,-0.7497582434750912,-0.9340959608688498,-0.5645481426546098,4112,261,True,True
3,all,proxy_clean,uncertainty,-0.3975818993042825,-0.6194539680871478,-0.17212365467768592,4112,261,True,True
3,all,proxy_clean,disagreement,-0.6909441263444012,-0.9107723083675848,-0.4766990515948121,4112,261,True,True
3,all,proxy_clean,latest_eta,-0.7563763570732338,-0.9729390368560512,-0.528854920249104,4112,261,True,True
3,all,independent_refusal25,random,-0.5623186826063183,-0.7005719706516375,-0.42341110699095724,4112,261,True,True
3,all,independent_refusal25,uncertainty,-0.29818642447821186,-0.46459047606536064,-0.12909274100826446,4112,261,True,True
3,all,independent_refusal25,disagreement,-0.5182080947583007,-0.6830792312756887,-0.3575242886961089,4112,261,True,True
3,all,independent_refusal25,latest_eta,-0.5672822678049253,-0.7297042776420386,-0.39664119018682803,4112,261,True,True
3,all,independent_refusal50,random,-0.3748791217375456,-0.4670479804344248,-0.28227407132730487,4112,261,True,True
3,all,independent_refusal50,uncertainty,-0.19879094965214128,-0.30972698404357374,-0.08606182733884292,4112,261,True,True
3,all,independent_refusal50,disagreement,-0.34547206317220064,-0.45538615418379247,-0.23834952579740593,4112,261,True,True
3,all,independent_refusal50,latest_eta,-0.3781881785366169,-0.48646951842802577,-0.26442746012455204,4112,261,True,True
3,all,entropy_refusal25,random,-0.25580516946516685,-0.37757790032342187,-0.13635306241988354,4112,261,True,True
3,all,entropy_refusal25,uncertainty,-0.21072726770858677,-0.362937917435299,-0.04458603606852462,4112,261,True,True
3,all,entropy_refusal25,disagreement,-0.19464503154981513,-0.34526141132008104,-0.046643955385678774,4112,261,True,True
3,all,entropy_refusal25,latest_eta,-0.16164640460337767,-0.319928045059445,0.004302213404048042,4112,261,True,False
3,all,entropy_refusal50,random,-0.10204319664682039,-0.20610431389083936,0.0001580483774610245,4112,261,True,False
3,all,entropy_refusal50,uncertainty,-0.05717046783066153,-0.18784219069437758,0.07500306405501933,4112,261,True,False
3,all,entropy_refusal50,disagreement,-0.03814131029768726,-0.15701153382292715,0.0832560912907493,4112,261,True,False
3,all,entropy_refusal50,latest_eta,-0.005352695569540994,-0.14765892805133415,0.13339379221503841,4112,261,True,False
3,all,adjacent_error10,random,-0.7469144421257568,-0.9165109899020063,-0.5735039304552122,4112,261,True,True
3,all,adjacent_error10,uncertainty,-0.39803451503484016,-0.6009405001645166,-0.1911510180568165,4112,261,True,True
3,all,adjacent_error10,disagreement,-0.6784181930022737,-0.883498501363679,-0.48060329589768747,4112,261,True,True
3,all,adjacent_error10,latest_eta,-0.6773907267680847,-0.8862521572190503,-0.4641206535376439,4112,261,True,True
3,all,adjacent_error20,random,-0.7440706407764223,-0.9002597790464439,-0.5861320022125966,4112,261,True,True
3,all,adjacent_error20,uncertainty,-0.3984871307653976,-0.5803115573202066,-0.21092338257865517,4112,261,True,True
3,all,adjacent_error20,disagreement,-0.6658922596601462,-0.8544085412651273,-0.4815307814692104,4112,261,True,True
3,all,adjacent_error20,latest_eta,-0.5984050964629354,-0.7967186176548665,-0.3979802247334516,4112,261,True,True
3,all,arbitrary_error10,random,-0.763453822169367,-0.9320115245255459,-0.591681206155259,4112,261,True,True
3,all,arbitrary_error10,uncertainty,-0.3714484841941583,-0.5685318956775595,-0.17177830073408112,4112,261,True,True
3,all,arbitrary_error10,disagreement,-0.6506670677829597,-0.8527442140744195,-0.4531461480102241,4112,261,True,True
3,all,arbitrary_error10,latest_eta,-0.7262135205717328,-0.9351221429139084,-0.5126526879229067,4112,261,True,True
3,all,arbitrary_error20,random,-0.7771494008636427,-0.9319600037083626,-0.619601378580023,4112,261,True,True
3,all,arbitrary_error20,uncertainty,-0.34531506908403403,-0.519979346901273,-0.1675444923233904,4112,261,True,True
3,all,arbitrary_error20,disagreement,-0.6103900092215184,-0.7930263504996148,-0.4298743588323542,4112,261,True,True
3,all,arbitrary_error20,latest_eta,-0.6960506840702317,-0.8948307011985422,-0.49052606483973776,4112,261,True,True
