method,mae,answers,scope,k,condition,routes
disagreement,73.22428067033411,1.0,all,3,proxy_clean,4112
gain,72.5333365439897,1.0,all,3,proxy_clean,4112
latest_eta,73.28971290106294,1.0,all,3,proxy_clean,4112
random,73.2830947874648,1.0,all,3,proxy_clean,4112
uncertainty,72.93091844329399,1.0,all,3,proxy_clean,4112
disagreement,73.25554587828425,0.75,all,3,independent_refusal25,4112
gain,72.73733778352596,0.75,all,3,independent_refusal25,4112
latest_eta,73.30462005133087,0.75,all,3,independent_refusal25,4112
random,73.29965646613226,0.75,all,3,independent_refusal25,4112
uncertainty,73.03552420800416,0.75,all,3,independent_refusal25,4112
disagreement,73.28681108623441,0.5,all,3,independent_refusal50,4112
gain,72.9413390230622,0.5,all,3,independent_refusal50,4112
latest_eta,73.31952720159882,0.5,all,3,independent_refusal50,4112
random,73.31621814479975,0.5,all,3,independent_refusal50,4112
uncertainty,73.14012997271433,0.5,all,3,independent_refusal50,4112
disagreement,73.33568610871147,0.5172665369649806,all,3,entropy_refusal25,4112
gain,73.14104107716166,0.42412451361867703,all,3,entropy_refusal25,4112
latest_eta,73.30268748176503,0.8667315175097277,all,3,entropy_refusal25,4112
random,73.39684624662684,0.6748902661121358,all,3,entropy_refusal25,4112
uncertainty,73.35176834487025,0.14713035019455253,all,3,entropy_refusal25,4112
disagreement,73.33632455042077,0.19601167315175097,all,3,entropy_refusal50,4112
gain,73.2981832401231,0.19576848249027237,all,3,entropy_refusal50,4112
latest_eta,73.30353593569264,0.6991731517509727,all,3,entropy_refusal50,4112
random,73.40022643676991,0.4202114822868736,all,3,entropy_refusal50,4112
uncertainty,73.35535370795375,0.01264591439688716,all,3,entropy_refusal50,4112
disagreement,73.36035980731597,1.0,all,3,adjacent_error10,4112
gain,72.6819416143137,1.0,all,3,adjacent_error10,4112
latest_eta,73.3593323410818,1.0,all,3,adjacent_error10,4112
random,73.42885605643947,1.0,all,3,adjacent_error10,4112
uncertainty,73.07997612934855,1.0,all,3,adjacent_error10,4112
disagreement,73.49643894429786,1.0,all,3,adjacent_error20,4112
gain,72.83054668463771,1.0,all,3,adjacent_error20,4112
latest_eta,73.42895178110064,1.0,all,3,adjacent_error20,4112
random,73.57461732541412,1.0,all,3,adjacent_error20,4112
uncertainty,73.22903381540311,1.0,all,3,adjacent_error20,4112
disagreement,73.49695295680729,1.0,all,3,arbitrary_error10,4112
gain,72.84628588902434,1.0,all,3,arbitrary_error10,4112
latest_eta,73.57249940959608,1.0,all,3,arbitrary_error10,4112
random,73.6097397111937,1.0,all,3,arbitrary_error10,4112
uncertainty,73.21773437321849,1.0,all,3,arbitrary_error10,4112
disagreement,73.76962524328049,1.0,all,3,arbitrary_error20,4112
gain,73.15923523405895,1.0,all,3,arbitrary_error20,4112
latest_eta,73.8552859181292,1.0,all,3,arbitrary_error20,4112
random,73.9363846349226,1.0,all,3,arbitrary_error20,4112
uncertainty,73.50455030314299,1.0,all,3,arbitrary_error20,4112
disagreement,77.26539709867052,1.0,mismatch_0_to_10pct,3,proxy_clean,1312
gain,75.96498364492292,1.0,mismatch_0_to_10pct,3,proxy_clean,1312
latest_eta,77.46148400040741,1.0,mismatch_0_to_10pct,3,proxy_clean,1312
random,77.27448641704314,1.0,mismatch_0_to_10pct,3,proxy_clean,1312
uncertainty,76.7301989645811,1.0,mismatch_0_to_10pct,3,proxy_clean,1312
disagreement,70.88108331767656,1.0,mismatch_10_to_30pct,3,proxy_clean,1364
gain,70.17998799688534,1.0,mismatch_10_to_30pct,3,proxy_clean,1364
latest_eta,71.235219000892,1.0,mismatch_10_to_30pct,3,proxy_clean,1364
random,70.98541134422652,1.0,mismatch_10_to_30pct,3,proxy_clean,1364
uncertainty,70.7256200544717,1.0,mismatch_10_to_30pct,3,proxy_clean,1364
disagreement,71.75782971981012,1.0,mismatch_over_30pct,3,proxy_clean,1436
gain,71.63336887116658,1.0,mismatch_over_30pct,3,proxy_clean,1436
latest_eta,71.42966136728384,1.0,mismatch_over_30pct,3,proxy_clean,1436
random,71.81884297588418,1.0,mismatch_over_30pct,3,proxy_clean,1436
uncertainty,71.55443582381272,1.0,mismatch_over_30pct,3,proxy_clean,1436
