k,condition,comparisons,favorable_mean_count,supported_interval_count
3,adjacent_error10,4,4,4
3,adjacent_error20,4,4,4
3,arbitrary_error10,4,4,4
3,arbitrary_error20,4,4,4
3,entropy_refusal25,4,4,3
3,entropy_refusal50,4,4,0
3,independent_refusal25,4,4,4
3,independent_refusal50,4,4,4
3,proxy_clean,4,4,4
5,adjacent_error10,4,4,4
5,adjacent_error20,4,4,4
5,arbitrary_error10,4,4,4
5,arbitrary_error20,4,4,4
5,entropy_refusal25,4,4,4
5,entropy_refusal50,4,4,2
5,independent_refusal25,4,4,4
5,independent_refusal50,4,4,4
5,proxy_clean,4,4,4
