k,method,condition,mae,base_mae,answers,routes
3,all_future_stage_DIAGNOSTIC,reference,62.255237266612276,73.34934150213469,14.405885214007782,4112
3,all_proxy_stage,reference,72.51040131400164,73.34934150213469,14.405885214007782,4112
3,disagreement,adjacent_error10,73.36035980731597,73.34934150213469,1.0,4112
3,disagreement,adjacent_error20,73.49643894429786,73.34934150213469,1.0,4112
3,disagreement,entropy_refusal25,73.33568610871147,73.34934150213469,0.5172665369649806,4112
3,disagreement,entropy_refusal50,73.33632455042077,73.34934150213469,0.19601167315175097,4112
3,disagreement,future_stage_oracle_DIAGNOSTIC,72.47861338365036,73.34934150213469,1.0,4112
3,disagreement,independent_refusal25,73.25554587828425,73.34934150213469,0.75,4112
3,disagreement,independent_refusal50,73.28681108623441,73.34934150213469,0.5,4112
3,disagreement,proxy_clean,73.22428067033411,73.34934150213469,1.0,4112
3,gain,adjacent_error10,72.6819416143137,73.34934150213469,1.0,4112
3,gain,adjacent_error20,72.83054668463771,73.34934150213469,1.0,4112
3,gain,entropy_refusal25,73.14104107716166,73.34934150213469,0.42412451361867703,4112
3,gain,entropy_refusal50,73.2981832401231,73.34934150213469,0.19576848249027237,4112
3,gain,future_stage_oracle_DIAGNOSTIC,71.17994953941849,73.34934150213469,1.0,4112
3,gain,independent_refusal25,72.73733778352596,73.34934150213469,0.75,4112
3,gain,independent_refusal50,72.9413390230622,73.34934150213469,0.5,4112
3,gain,proxy_clean,72.5333365439897,73.34934150213469,1.0,4112
3,latest_eta,adjacent_error10,73.3593323410818,73.34934150213469,1.0,4112
3,latest_eta,adjacent_error20,73.42895178110064,73.34934150213469,1.0,4112
3,latest_eta,entropy_refusal25,73.30268748176503,73.34934150213469,0.8667315175097277,4112
3,latest_eta,entropy_refusal50,73.30353593569264,73.34934150213469,0.6991731517509727,4112
3,latest_eta,future_stage_oracle_DIAGNOSTIC,72.7574187202562,73.34934150213469,1.0,4112
3,latest_eta,independent_refusal25,73.30462005133087,73.34934150213469,0.75,4112
3,latest_eta,independent_refusal50,73.31952720159882,73.34934150213469,0.5,4112
3,latest_eta,proxy_clean,73.28971290106294,73.34934150213469,1.0,4112
3,no_query,reference,73.34934150213469,73.34934150213469,0.0,4112
3,random,adjacent_error10,73.42885605643947,73.34934150213469,1.0,4112
3,random,adjacent_error20,73.57461732541412,73.34934150213469,1.0,4112
3,random,entropy_refusal25,73.39684624662684,73.34934150213469,0.6748902661121358,4112
3,random,entropy_refusal50,73.40022643676991,73.34934150213469,0.4202114822868736,4112
3,random,future_stage_oracle_DIAGNOSTIC,72.53328653056633,73.34934150213469,1.0,4112
3,random,independent_refusal25,73.29965646613226,73.34934150213469,0.75,4112
3,random,independent_refusal50,73.31621814479975,73.34934150213469,0.5,4112
3,random,proxy_clean,73.2830947874648,73.34934150213469,1.0,4112
3,uncertainty,adjacent_error10,73.07997612934855,73.34934150213469,1.0,4112
3,uncertainty,adjacent_error20,73.22903381540311,73.34934150213469,1.0,4112
3,uncertainty,entropy_refusal25,73.35176834487025,73.34934150213469,0.14713035019455253,4112
3,uncertainty,entropy_refusal50,73.35535370795375,73.34934150213469,0.01264591439688716,4112
3,uncertainty,future_stage_oracle_DIAGNOSTIC,72.04150919404935,73.34934150213469,1.0,4112
3,uncertainty,independent_refusal25,73.03552420800416,73.34934150213469,0.75,4112
3,uncertainty,independent_refusal50,73.14012997271433,73.34934150213469,0.5,4112
3,uncertainty,proxy_clean,72.93091844329399,73.34934150213469,1.0,4112
5,all_future_stage_DIAGNOSTIC,reference,60.43007134094452,73.34934150213469,14.405885214007782,4112
5,all_proxy_stage,reference,72.48589224841352,73.34934150213469,14.405885214007782,4112
5,disagreement,adjacent_error10,73.25564407308471,73.34934150213469,1.0,4112
5,disagreement,adjacent_error20,73.31363365094833,73.34934150213469,1.0,4112
5,disagreement,entropy_refusal25,73.38882599216444,73.34934150213469,0.46181906614785995,4112
5,disagreement,entropy_refusal50,73.38486941970746,73.34934150213469,0.21643968871595332,4112
5,disagreement,future_stage_oracle_DIAGNOSTIC,72.23646304331453,73.34934150213469,1.0,4112
5,disagreement,independent_refusal25,73.23557624694948,73.34934150213469,0.75,4112
5,disagreement,independent_refusal50,73.27349799867788,73.34934150213469,0.5,4112
5,disagreement,proxy_clean,73.19765449522109,73.34934150213469,1.0,4112
5,gain,adjacent_error10,72.49827098119641,73.34934150213469,1.0,4112
5,gain,adjacent_error20,72.55617290380641,73.34934150213469,1.0,4112
5,gain,entropy_refusal25,73.11673873331586,73.34934150213469,0.44309338521400776,4112
5,gain,entropy_refusal50,73.2411369456367,73.34934150213469,0.1821498054474708,4112
5,gain,future_stage_oracle_DIAGNOSTIC,70.96935158828431,73.34934150213469,1.0,4112
5,gain,independent_refusal25,72.66761216947349,73.34934150213469,0.75,4112
5,gain,independent_refusal50,72.89485528036056,73.34934150213469,0.5,4112
5,gain,proxy_clean,72.44036905858641,73.34934150213469,1.0,4112
5,latest_eta,adjacent_error10,73.32166619675938,73.34934150213469,1.0,4112
5,latest_eta,adjacent_error20,73.30998297826173,73.34934150213469,1.0,4112
5,latest_eta,entropy_refusal25,73.33157441560495,73.34934150213469,0.8553015564202334,4112
5,latest_eta,entropy_refusal50,73.3147273675176,73.34934150213469,0.6738813229571985,4112
5,latest_eta,future_stage_oracle_DIAGNOSTIC,72.65129398399029,73.34934150213469,1.0,4112
5,latest_eta,independent_refusal25,73.33734743697644,73.34934150213469,0.75,4112
5,latest_eta,independent_refusal50,73.34134545869586,73.34934150213469,0.5,4112
5,latest_eta,proxy_clean,73.33334941525702,73.34934150213469,1.0,4112
5,no_query,reference,73.34934150213469,73.34934150213469,0.0,4112
5,random,adjacent_error10,73.32556057706574,73.34934150213469,1.0,4112
5,random,adjacent_error20,73.37971675161646,73.34934150213469,1.0,4112
5,random,entropy_refusal25,73.38545692538123,73.34934150213469,0.6740036780959177,4112
5,random,entropy_refusal50,73.4088136982261,73.34934150213469,0.41489784799970075,4112
5,random,future_stage_oracle_DIAGNOSTIC,72.39278215714234,73.34934150213469,1.0,4112
5,random,independent_refusal25,73.29088867741993,73.34934150213469,0.75,4112
5,random,independent_refusal50,73.31037295232485,73.34934150213469,0.5,4112
5,random,proxy_clean,73.27140440251502,73.34934150213469,1.0,4112
5,uncertainty,adjacent_error10,72.85940404401566,73.34934150213469,1.0,4112
