origin,k,method,condition,mae
13,3,all_future_stage_DIAGNOSTIC,reference,81.00265751544292
13,3,all_proxy_stage,reference,90.03395669857555
13,3,disagreement,adjacent_error10,88.36491514610678
13,3,disagreement,adjacent_error20,88.4670831032334
13,3,disagreement,entropy_refusal25,88.10364358311428
13,3,disagreement,entropy_refusal50,88.13103560115269
13,3,disagreement,future_stage_oracle_DIAGNOSTIC,87.55408375052315
13,3,disagreement,independent_refusal25,88.23004261142417
13,3,disagreement,independent_refusal50,88.19733803386818
13,3,disagreement,proxy_clean,88.26274718898016
13,3,gain,adjacent_error10,87.33131303272559
13,3,gain,adjacent_error20,87.43297157140991
13,3,gain,entropy_refusal25,87.83520305547015
13,3,gain,entropy_refusal50,88.17328808226125
13,3,gain,future_stage_oracle_DIAGNOSTIC,85.86933511468854
13,3,gain,independent_refusal25,87.45522309022002
13,3,gain,independent_refusal50,87.68079168639873
13,3,gain,proxy_clean,87.22965449404128
13,3,latest_eta,adjacent_error10,87.88554608946225
13,3,latest_eta,adjacent_error20,87.85880971747265
13,3,latest_eta,entropy_refusal25,88.0458988377375
13,3,latest_eta,entropy_refusal50,88.09494973611393
13,3,latest_eta,future_stage_oracle_DIAGNOSTIC,87.45076528176803
13,3,latest_eta,independent_refusal25,87.96719406577796
13,3,latest_eta,independent_refusal50,88.02210567010404
13,3,latest_eta,proxy_clean,87.91228246145188
13,3,no_query,reference,88.13192887875621
13,3,random,adjacent_error10,88.37584398256485
13,3,random,adjacent_error20,88.48606145847337
13,3,random,entropy_refusal25,88.22436677583157
13,3,random,entropy_refusal50,88.20859538728295
13,3,random,future_stage_oracle_DIAGNOSTIC,87.60594564711401
13,3,random,independent_refusal25,88.2322020996813
13,3,random,independent_refusal50,88.19877769270627
13,3,random,proxy_clean,88.26562650665633
13,3,uncertainty,adjacent_error10,88.17345512083676
13,3,uncertainty,adjacent_error20,88.28190270421088
13,3,uncertainty,entropy_refusal25,88.16680634334567
13,3,uncertainty,entropy_refusal50,88.15052700057836
13,3,uncertainty,future_stage_oracle_DIAGNOSTIC,87.36906393686355
13,3,uncertainty,independent_refusal25,88.08173787278604
13,3,uncertainty,independent_refusal50,88.09846820810941
13,3,uncertainty,proxy_clean,88.06500753746263
13,5,all_future_stage_DIAGNOSTIC,reference,80.82387598317163
13,5,all_proxy_stage,reference,91.0631232366744
13,5,disagreement,adjacent_error10,88.38323146697044
13,5,disagreement,adjacent_error20,88.41474103055678
13,5,disagreement,entropy_refusal25,88.19207483163434
13,5,disagreement,entropy_refusal50,88.20120111577177
13,5,disagreement,future_stage_oracle_DIAGNOSTIC,87.47839741497235
13,5,disagreement,independent_refusal25,88.29677364722711
13,5,disagreement,independent_refusal50,88.24182539107015
13,5,disagreement,proxy_clean,88.35172190338409
13,5,gain,adjacent_error10,86.99322527871638
13,5,gain,adjacent_error20,87.04572080325563
13,5,gain,entropy_refusal25,87.7369771961774
13,5,gain,entropy_refusal50,88.04990171899065
13,5,gain,future_stage_oracle_DIAGNOSTIC,85.58851861175492
13,5,gain,independent_refusal25,87.2385295353219
13,5,gain,independent_refusal50,87.53632931646668
13,5,gain,proxy_clean,86.94072975417714
13,5,latest_eta,adjacent_error10,88.04334610000016
13,5,latest_eta,adjacent_error20,87.979591761104
13,5,latest_eta,entropy_refusal25,88.20375203920548
13,5,latest_eta,entropy_refusal50,88.11920541456585
13,5,latest_eta,future_stage_oracle_DIAGNOSTIC,87.59519779176173
13,5,latest_eta,independent_refusal25,88.11330754886129
13,5,latest_eta,independent_refusal50,88.11951465882626
13,5,latest_eta,proxy_clean,88.10710043889632
13,5,no_query,reference,88.13192887875621
13,5,random,adjacent_error10,88.3503283800757
13,5,random,adjacent_error20,88.38157668261658
13,5,random,entropy_refusal25,88.22838668596977
13,5,random,entropy_refusal50,88.20303290940494
13,5,random,future_stage_oracle_DIAGNOSTIC,87.56406361197162
13,5,random,independent_refusal25,88.27229227784015
13,5,random,independent_refusal50,88.22550447814551
13,5,random,proxy_clean,88.3190800775348
13,5,uncertainty,adjacent_error10,87.71954458527023
13,5,uncertainty,adjacent_error20,87.79097079399448
13,5,uncertainty,entropy_refusal25,88.08819444543867
13,5,uncertainty,entropy_refusal50,88.13817965625165
13,5,uncertainty,future_stage_oracle_DIAGNOSTIC,86.90649914845062
13,5,uncertainty,independent_refusal25,87.76907100209854
13,5,uncertainty,independent_refusal50,87.89002362765109
13,5,uncertainty,proxy_clean,87.648118376546
19,3,all_future_stage_DIAGNOSTIC,reference,54.46899409768968
19,3,all_proxy_stage,reference,65.33601880919085
19,3,disagreement,adjacent_error10,66.84102814188282
19,3,disagreement,adjacent_error20,66.97513224716263
19,3,disagreement,entropy_refusal25,66.87859643709152
19,3,disagreement,entropy_refusal50,66.85095966109647
19,3,disagreement,future_stage_oracle_DIAGNOSTIC,65.85615078705466
19,3,disagreement,independent_refusal25,66.75321765133165
19,3,disagreement,independent_refusal50,66.7995112660603
19,3,disagreement,proxy_clean,66.706924036603
19,3,gain,adjacent_error10,66.37556169889079
19,3,gain,adjacent_error20,66.53532565266178
19,3,gain,entropy_refusal25,66.72498479662265
19,3,gain,entropy_refusal50,66.76402075917562
19,3,gain,future_stage_oracle_DIAGNOSTIC,64.7272378473018
19,3,gain,independent_refusal25,66.38487293271926
19,3,gain,independent_refusal50,66.55394812031871
19,3,gain,proxy_clean,66.2157977451198
19,3,latest_eta,adjacent_error10,67.03185627952107
19,3,latest_eta,adjacent_error20,67.1427491178701
19,3,latest_eta,entropy_refusal25,66.88473976622814
19,3,latest_eta,entropy_refusal50,66.83475633739367
19,3,latest_eta,future_stage_oracle_DIAGNOSTIC,66.34872866797977
19,3,latest_eta,independent_refusal25,66.91374720475844
19,3,latest_eta,independent_refusal50,66.90653096834484
19,3,latest_eta,proxy_clean,66.92096344117203
19,3,no_query,reference,66.89209849551762
19,3,random,adjacent_error10,66.93574556790934
19,3,random,adjacent_error20,67.09110919051129
19,3,random,entropy_refusal25,66.95920878153721
19,3,random,entropy_refusal50,66.93770110616657
19,3,random,future_stage_oracle_DIAGNOSTIC,66.01527512645866
19,3,random,independent_refusal25,66.80831108285994
19,3,random,independent_refusal50,66.8362402204125
19,3,random,proxy_clean,66.78038194530738
19,3,uncertainty,adjacent_error10,66.52991948788281
19,3,uncertainty,adjacent_error20,66.68219552279197
19,3,uncertainty,entropy_refusal25,66.8820360430571
19,3,uncertainty,entropy_refusal50,66.89073466943009
19,3,uncertainty,future_stage_oracle_DIAGNOSTIC,65.31436606418613
19,3,uncertainty,independent_refusal25,66.50625721360964
19,3,uncertainty,independent_refusal50,66.63487097424563
19,3,uncertainty,proxy_clean,66.37764345297364
19,5,all_future_stage_DIAGNOSTIC,reference,51.89878185927618
19,5,all_proxy_stage,reference,64.8399543159406
19,5,disagreement,adjacent_error10,66.70372352934353
19,5,disagreement,adjacent_error20,66.77191136511696
19,5,disagreement,entropy_refusal25,66.99050806243119
19,5,disagreement,entropy_refusal50,66.92891103977772
19,5,disagreement,future_stage_oracle_DIAGNOSTIC,65.61545716622435
19,5,disagreement,independent_refusal25,66.69967639405698
19,5,disagreement,independent_refusal50,66.76381709454385
19,5,disagreement,proxy_clean,66.6355356935701
19,5,gain,adjacent_error10,66.34555414857718
19,5,gain,adjacent_error20,66.38665929882056
19,5,gain,entropy_refusal25,66.81615562355796
19,5,gain,entropy_refusal50,66.76682406722101
19,5,gain,future_stage_oracle_DIAGNOSTIC,64.64410848439795
19,5,gain,independent_refusal25,66.45136137262975
